team,season,ORtg,DRtg
Arsenal,2020/2021,1.0229296875,1.0639648438
Aston Villa,2020/2021,0.8566992188,1.371484375
Brighton & Hove Albion,2020/2021,0.8768359375,1.1424609375
Burnley,2020/2021,0.9266601562,1.0290625
Chelsea,2020/2021,1.4465039062,0.8781835938
Crystal Palace,2020/2021,0.6526367188,1.0775976562
Everton,2020/2021,0.9921289062,1.0009179688
Fulham,2020/2021,0.6195652173913043,1.3940217391304348
Leeds United,2020/2021,0.7454144021739131,1.0164741847826089
Leicester City,2020/2021,1.2268359375,0.8949804687
Liverpool,2020/2021,1.5260351562,0.7343554687
Manchester City,2020/2021,1.9950585938,0.7109375
Manchester United,2020/2021,1.2916601562,0.7312890625
Newcastle United,2020/2021,0.7215429688,1.2562695312
Sheffield United,2020/2021,0.8548242187,0.94
Southampton,2020/2021,1.0712890625,1.1252539062
Tottenham Hotspur,2020/2021,1.0276171875,1.0154492188
West Bromwich Albion,2020/2021,0.7454144021739131,1.3068953804347827
West Ham United,2020/2021,0.9579882812,1.29734375
Wolverhampton Wanderers,2020/2021,1.0401171875,0.7455664063
Brentford,2021/2022,0.745123981,1.177077106
Norwich City,2021/2022,0.7524813179,1.3829857337
Watford,2021/2022,0.6424116848,1.2026341712
AFC Bournemouth,2022/2023,0.660962124,1.1256996712
Fulham,2022/2023,0.8800487151,1.1376397516
Nottingham Forest,2022/2023,0.6095920107,1.3147972232
Burnley,2023/2024,0.6675758062,1.0389491417
Luton Town,2023/2024,0.5334205038,1.1774939836
Sheffield United,2023/2024,0.6675758062,1.1794144072
Ipswich Town,2024/2025,0.6378239933,1.2017377347
Leicester City,2024/2025,0.6902533324,1.0170018843
Southampton,2024/2025,0.6587479936,1.2898094773
Burnley,2025/2026,0.548729187,0.8430976799
Leeds United,2025/2026,0.825316436,0.803890037
Sunderland,2025/2026,0.5262359134,1.2799828427
Coventry City,2026/2027,0.7530154844,1.218106309
Hull City,2026/2027,0.524130831,1.900035478
Ipswich Town,2026/2027,0.6631144006,1.170023165
