,league,match_id,game_date,home,home_id,home_primary,home_secondary,home_text,away,away_id,away_primary,away_secondary,away_text,season
0,17,14024019,1774105200,Manchester City,17,#66ccff,#ffffff,#ffffff,Crystal Palace,7,#0033ff,#b90d2b,#b90d2b,26
1,17,14025021,1775907000,Arsenal,42,#cc0000,#ffffff,#ffffff,Bournemouth,60,#000000,#cc0000,#cc0000,26
2,17,14025022,1775916000,Brentford,50,#ffffff,#ff0000,#ff0000,Everton,48,#274488,#ffffff,#ffffff,26
3,17,14024002,1775916000,Burnley,6,#81204c,#8fd2f4,#8fd2f4,Brighton & Hove Albion,30,#0054a6,#ffffff,#ffffff,26
4,17,14024000,1775925000,Liverpool,44,#cc0000,#ffffff,#ffffff,Fulham,43,#ffffff,#000000,#000000,26
5,17,14023999,1775998800,Crystal Palace,7,#0033ff,#b90d2b,#b90d2b,Newcastle United,39,#000000,#ffffff,#ffffff,26
6,17,14025025,1775998800,Nottingham Forest,14,#cc0000,#cc0000,#cc0000,Aston Villa,40,#670e36,#94bee5,#94bee5,26
7,17,14025026,1775998800,Sunderland,41,#ffffff,#ca0000,#ca0000,Tottenham Hotspur,33,#ffffff,#000066,#000066,26
8,17,14023998,1776007800,Chelsea,38,#0310a7,#ffffff,#ffffff,Manchester City,17,#66ccff,#ffffff,#ffffff,26
9,17,14025024,1776106800,Manchester United,35,#ff0000,#373737,#373737,Leeds United,34,#ffffff,#1d4189,#1d4189,26
10,17,14025031,1776511800,Brentford,50,#ffffff,#ff0000,#ff0000,Fulham,43,#ffffff,#000000,#000000,26
11,17,14025036,1776520800,Leeds United,34,#ffffff,#1d4189,#1d4189,Wolverhampton,3,#ff9900,#000000,#000000,26
12,17,14025040,1776520800,Newcastle United,39,#000000,#ffffff,#ffffff,Bournemouth,60,#000000,#cc0000,#cc0000,26
13,17,14025042,1776529800,Tottenham Hotspur,33,#ffffff,#000066,#000066,Brighton & Hove Albion,30,#0054a6,#ffffff,#ffffff,26
14,17,14025032,1776538800,Chelsea,38,#0310a7,#ffffff,#ffffff,Manchester United,35,#ff0000,#373737,#373737,26
15,17,14025030,1776603600,Aston Villa,40,#670e36,#94bee5,#94bee5,Sunderland,41,#ffffff,#ca0000,#ca0000,26
16,17,14025035,1776603600,Everton,48,#274488,#ffffff,#ffffff,Liverpool,44,#cc0000,#ffffff,#ffffff,26
17,17,14025041,1776603600,Nottingham Forest,14,#cc0000,#cc0000,#cc0000,Burnley,6,#81204c,#8fd2f4,#8fd2f4,26
18,17,14025039,1776612600,Manchester City,17,#66ccff,#ffffff,#ffffff,Arsenal,42,#cc0000,#ffffff,#ffffff,26
19,17,14025034,1776711600,Crystal Palace,7,#0033ff,#b90d2b,#b90d2b,West Ham United,37,#66192c,#59b3e4,#59b3e4,26
20,17,14024001,1776798000,Brighton & Hove Albion,30,#0054a6,#ffffff,#ffffff,Chelsea,38,#0310a7,#ffffff,#ffffff,26
21,17,14025044,1776884400,Bournemouth,60,#000000,#cc0000,#cc0000,Leeds United,34,#ffffff,#1d4189,#1d4189,26
22,17,14024003,1776884400,Burnley,6,#81204c,#8fd2f4,#8fd2f4,Manchester City,17,#66ccff,#ffffff,#ffffff,26
23,17,14023932,1777057200,Sunderland,41,#ffffff,#ca0000,#ca0000,Nottingham Forest,14,#cc0000,#cc0000,#cc0000,26
24,17,14024004,1777116600,Fulham,43,#ffffff,#000000,#000000,Aston Villa,40,#670e36,#94bee5,#94bee5,26
25,17,14024005,1777125600,Liverpool,44,#cc0000,#ffffff,#ffffff,Crystal Palace,7,#0033ff,#b90d2b,#b90d2b,26
26,17,14023934,1777125600,West Ham United,37,#66192c,#59b3e4,#59b3e4,Everton,48,#274488,#ffffff,#ffffff,26
27,17,14024022,1777125600,Wolverhampton,3,#ff9900,#000000,#000000,Tottenham Hotspur,33,#ffffff,#000066,#000066,26
28,17,14025045,1777134600,Arsenal,42,#cc0000,#ffffff,#ffffff,Newcastle United,39,#000000,#ffffff,#ffffff,26
29,17,14023926,1777316400,Manchester United,35,#ff0000,#373737,#373737,Brentford,50,#ffffff,#ff0000,#ff0000,26
30,17,14023940,1777662000,Leeds United,34,#ffffff,#1d4189,#1d4189,Burnley,6,#81204c,#8fd2f4,#8fd2f4,26
31,17,14023927,1777721400,Aston Villa,40,#670e36,#94bee5,#94bee5,Tottenham Hotspur,33,#ffffff,#000066,#000066,26
32,17,14024023,1777730400,Bournemouth,60,#000000,#cc0000,#cc0000,Crystal Palace,7,#0033ff,#b90d2b,#b90d2b,26
33,17,14023945,1777730400,Brentford,50,#ffffff,#ff0000,#ff0000,West Ham United,37,#66192c,#59b3e4,#59b3e4,26
34,17,14023949,1777730400,Newcastle United,39,#000000,#ffffff,#ffffff,Brighton & Hove Albion,30,#0054a6,#ffffff,#ffffff,26
35,17,14023951,1777730400,Wolverhampton,3,#ff9900,#000000,#000000,Sunderland,41,#ffffff,#ca0000,#ca0000,26
36,17,14023931,1777739400,Arsenal,42,#cc0000,#ffffff,#ffffff,Fulham,43,#ffffff,#000000,#000000,26
37,17,14023939,1777818600,Manchester United,35,#ff0000,#373737,#373737,Liverpool,44,#cc0000,#ffffff,#ffffff,26
38,17,14023925,1777903200,Chelsea,38,#0310a7,#ffffff,#ffffff,Nottingham Forest,14,#cc0000,#cc0000,#cc0000,26
39,17,14023930,1777921200,Everton,48,#274488,#ffffff,#ffffff,Manchester City,17,#66ccff,#ffffff,#ffffff,26
40,17,14024024,1778326200,Liverpool,44,#cc0000,#ffffff,#ffffff,Chelsea,38,#0310a7,#ffffff,#ffffff,26
41,17,14023935,1778335200,Brighton & Hove Albion,30,#0054a6,#ffffff,#ffffff,Wolverhampton,3,#ff9900,#000000,#000000,26
42,17,14023929,1778335200,Burnley,6,#81204c,#8fd2f4,#8fd2f4,Aston Villa,40,#670e36,#94bee5,#94bee5,26
43,17,14023937,1778335200,Crystal Palace,7,#0033ff,#b90d2b,#b90d2b,Everton,48,#274488,#ffffff,#ffffff,26
44,17,14023948,1778335200,Fulham,43,#ffffff,#000000,#000000,Bournemouth,60,#000000,#cc0000,#cc0000,26
45,17,14023938,1778335200,Sunderland,41,#ffffff,#ca0000,#ca0000,Manchester United,35,#ff0000,#373737,#373737,26
46,17,14023946,1778344200,Manchester City,17,#66ccff,#ffffff,#ffffff,Brentford,50,#ffffff,#ff0000,#ff0000,26
47,17,14023943,1778418000,Nottingham Forest,14,#cc0000,#cc0000,#cc0000,Newcastle United,39,#000000,#ffffff,#ffffff,26
48,17,14023942,1778427000,West Ham United,37,#66192c,#59b3e4,#59b3e4,Arsenal,42,#cc0000,#ffffff,#ffffff,26
49,17,14023944,1778526000,Tottenham Hotspur,33,#ffffff,#000066,#000066,Leeds United,34,#ffffff,#1d4189,#1d4189,26
50,17,14023950,1779026400,Arsenal,42,#cc0000,#ffffff,#ffffff,Burnley,6,#81204c,#8fd2f4,#8fd2f4,26
51,17,14023928,1779026400,Aston Villa,40,#670e36,#94bee5,#94bee5,Liverpool,44,#cc0000,#ffffff,#ffffff,26
52,17,14023936,1779026400,Bournemouth,60,#000000,#cc0000,#cc0000,Manchester City,17,#66ccff,#ffffff,#ffffff,26
53,17,14023953,1779026400,Brentford,50,#ffffff,#ff0000,#ff0000,Crystal Palace,7,#0033ff,#b90d2b,#b90d2b,26
54,17,14023952,1779026400,Chelsea,38,#0310a7,#ffffff,#ffffff,Tottenham Hotspur,33,#ffffff,#000066,#000066,26
55,17,14023955,1779026400,Everton,48,#274488,#ffffff,#ffffff,Sunderland,41,#ffffff,#ca0000,#ca0000,26
56,17,14023954,1779026400,Leeds United,34,#ffffff,#1d4189,#1d4189,Brighton & Hove Albion,30,#0054a6,#ffffff,#ffffff,26
57,17,14023956,1779026400,Manchester United,35,#ff0000,#373737,#373737,Nottingham Forest,14,#cc0000,#cc0000,#cc0000,26
58,17,14023957,1779026400,Newcastle United,39,#000000,#ffffff,#ffffff,West Ham United,37,#66192c,#59b3e4,#59b3e4,26
59,17,14023958,1779026400,Wolverhampton,3,#ff9900,#000000,#000000,Fulham,43,#ffffff,#000000,#000000,26
60,17,14023959,1779634800,Brighton & Hove Albion,30,#0054a6,#ffffff,#ffffff,Manchester United,35,#ff0000,#373737,#373737,26
61,17,14023960,1779634800,Burnley,6,#81204c,#8fd2f4,#8fd2f4,Wolverhampton,3,#ff9900,#000000,#000000,26
62,17,14023963,1779634800,Crystal Palace,7,#0033ff,#b90d2b,#b90d2b,Arsenal,42,#cc0000,#ffffff,#ffffff,26
63,17,14023965,1779634800,Fulham,43,#ffffff,#000000,#000000,Newcastle United,39,#000000,#ffffff,#ffffff,26
64,17,14023962,1779634800,Liverpool,44,#cc0000,#ffffff,#ffffff,Brentford,50,#ffffff,#ff0000,#ff0000,26
65,17,14023961,1779634800,Manchester City,17,#66ccff,#ffffff,#ffffff,Aston Villa,40,#670e36,#94bee5,#94bee5,26
66,17,14023964,1779634800,Nottingham Forest,14,#cc0000,#cc0000,#cc0000,Bournemouth,60,#000000,#cc0000,#cc0000,26
67,17,14023966,1779634800,Sunderland,41,#ffffff,#ca0000,#ca0000,Chelsea,38,#0310a7,#ffffff,#ffffff,26
68,17,14023967,1779634800,Tottenham Hotspur,33,#ffffff,#000066,#000066,Everton,48,#274488,#ffffff,#ffffff,26
69,17,14023968,1779634800,West Ham United,37,#66192c,#59b3e4,#59b3e4,Leeds United,34,#ffffff,#1d4189,#1d4189,26
